post_id,user_id,,,
280,1,,,
994,1,,,
981,2,,,
982,2,,,
984,2,,,
987,2,,,
988,2,,,
989,2,,,
361,3,,,
362,3,,,
363,3,,,
364,3,,,
365,3,,,
366,3,,,
372,3,,,
373,3,,,
374,3,,,
1004,3,,,
1005,3,,,
1006,3,,,
991,5,,,
304,7,,,
305,7,,,
306,7,,,
307,7,,,
308,7,,,
352,7,,,
356,7,,,
357,7,,,
359,7,,,
377,9,,,
1000,22,,,
1001,22,,,
847,24,,,
848,24,,,
980,29,,,
1003,45,,,
425,46,,,
426,46,,,
427,46,,,
960,47,,,
961,47,,,
962,47,,,
963,47,,,
964,47,,,
119,48,,,
836,49,,,
837,49,,,
838,49,,,
25,54,,,
419,54,,,
420,54,,,
421,54,,,
422,54,,,
259,57,,,
260,57,,,
261,57,,,
810,72,,,
811,72,,,
812,72,,,
813,72,,,
814,72,,,
815,72,,,
868,72,,,
869,72,,,
870,72,,,
871,72,,,
872,72,,,
873,72,,,
874,72,,,
875,72,,,
876,72,,,
786,92,,,
787,92,,,
788,92,,,
789,92,,,
790,92,,,
791,92,,,
792,92,,,
793,92,,,
794,92,,,
795,92,,,
796,92,,,
797,92,,,
798,92,,,
799,92,,,
800,92,,,
801,92,,,
802,92,,,
803,92,,,
578,93,,,
579,93,,,
580,93,,,
581,93,,,
582,93,,,
583,93,,,
584,93,,,
585,93,,,
586,93,,,
96,116,,,
97,116,,,
697,132,,,
698,132,,,
35,146,,,
903,147,,,
904,147,,,
905,147,,,
934,147,,,
404,151,,,
405,151,,,
406,151,,,
407,151,,,
408,151,,,
409,151,,,
776,154,,,
777,154,,,
778,154,,,
845,154,,,
846,154,,,
849,154,,,
850,154,,,
851,154,,,
618,158,,,
619,158,,,
620,158,,,
621,158,,,
622,158,,,
84,160,,,
85,160,,,
7,167,,,
649,167,,,
388,168,,,
389,168,,,
390,168,,,
587,173,,,
588,173,,,
589,173,,,
590,173,,,
591,173,,,
609,175,,,
610,175,,,
611,175,,,
214,218,,,
215,218,,,
216,218,,,
217,218,,,
218,218,,,
30,225,,,
332,226,,,
333,226,,,
41,231,,,
452,242,,,
453,242,,,
659,244,,,
660,244,,,
661,244,,,
695,256,,,
696,256,,,
901,258,,,
784,266,,,
785,266,,,
247,280,,,
250,280,,,
251,280,,,
252,280,,,
253,280,,,
254,280,,,
341,280,,,
342,280,,,
343,280,,,
346,280,,,
347,280,,,
348,280,,,
78,286,,,
239,298,,,
240,298,,,
241,298,,,
242,298,,,
689,311,,,
690,311,,,
691,311,,,
692,311,,,
79,312,,,
80,312,,,
334,323,,,
335,323,,,
336,323,,,
592,326,,,
593,326,,,
594,326,,,
552,327,,,
553,327,,,
554,327,,,
555,327,,,
556,327,,,
8,329,,,
16,329,,,
693,329,,,
694,329,,,
454,338,,,
455,338,,,
456,338,,,
93,350,,,
94,350,,,
95,350,,,
131,350,,,
21,352,,,
676,365,,,
677,365,,,
678,365,,,
57,368,,,
59,368,,,
67,368,,,
887,370,,,
888,370,,,
889,370,,,
897,370,,,
575,377,,,
576,377,,,
577,377,,,
935,383,,,
936,383,,,
937,383,,,
942,395,,,
943,395,,,
230,403,,,
663,411,,,
664,411,,,
665,411,,,
759,417,,,
760,417,,,
761,417,,,
768,417,,,
772,417,,,
199,421,,,
379,421,,,
595,432,,,
596,432,,,
597,432,,,
598,432,,,
428,445,,,
429,445,,,
430,445,,,
431,445,,,
726,455,,,
727,455,,,
728,455,,,
916,455,,,
910,457,,,
911,457,,,
724,460,,,
725,460,,,
118,461,,,
440,489,,,
441,489,,,
442,489,,,
906,502,,,
907,502,,,
908,502,,,
313,506,,,
314,506,,,
316,506,,,
740,508,,,
741,508,,,
933,508,,,
569,523,,,
570,523,,,
571,523,,,
766,534,,,
767,534,,,
489,548,,,
232,550,,,
233,550,,,
234,550,,,
235,550,,,
236,550,,,
238,550,,,
498,550,,,
499,550,,,
500,550,,,
501,550,,,
502,550,,,
504,550,,,
443,553,,,
444,553,,,
445,553,,,
446,553,,,
447,553,,,
448,553,,,
262,554,,,
263,554,,,
264,554,,,
265,554,,,
266,554,,,
273,554,,,
274,554,,,
275,554,,,
276,554,,,
277,554,,,
279,554,,,
433,555,,,
434,555,,,
435,555,,,
438,555,,,
463,560,,,
449,577,,,
450,577,,,
451,577,,,
516,594,,,
517,594,,,
524,594,,,
636,605,,,
637,605,,,
634,615,,,
635,615,,,
26,619,,,
27,619,,,
188,620,,,
189,620,,,
190,620,,,
191,620,,,
192,620,,,
193,620,,,
86,628,,,
413,631,,,
414,631,,,
415,631,,,
223,634,,,
224,634,,,
225,634,,,
108,658,,,
572,669,,,
573,669,,,
574,669,,,
612,673,,,
613,673,,,
614,673,,,
615,673,,,
121,682,,,
122,682,,,
606,690,,,
607,690,,,
608,690,,,
824,700,,,
825,700,,,
826,700,,,
864,700,,,
865,700,,,
866,700,,,
540,708,,,
541,708,,,
704,708,,,
713,708,,,
714,708,,,
715,708,,,
716,708,,,
717,708,,,
718,708,,,
719,708,,,
720,708,,,
721,708,,,
723,708,,,
324,711,,,
325,711,,,
461,711,,,
638,718,,,
639,718,,,
42,721,,,
180,723,,,
181,723,,,
182,723,,,
950,756,,,
951,756,,,
952,756,,,
953,756,,,
200,799,,,
201,799,,,
496,824,,,
497,824,,,
505,824,,,
601,832,,,
602,832,,,
603,832,,,
604,832,,,
194,834,,,
381,834,,,
382,834,,,
55,837,,,
436,837,,,
947,843,,,
948,843,,,
968,843,,,
317,847,,,
318,847,,,
319,847,,,
667,867,,,
668,867,,,
669,867,,,
670,867,,,
457,868,,,
458,868,,,
459,868,,,
535,873,,,
536,873,,,
39,888,,,
705,891,,,
706,891,,,
157,892,,,
158,892,,,
159,892,,,
160,892,,,
938,892,,,
656,895,,,
658,895,,,
628,904,,,
629,904,,,
630,904,,,
738,933,,,
739,933,,,
15,942,,,
881,946,,,
882,946,,,
883,946,,,
884,946,,,
650,952,,,
651,952,,,
652,952,,,
653,952,,,
654,952,,,
